pk_productkey;product_category;product_subcategory;product_categoryname;product_subcategoryname;standard_cost;colour;list_price;size;dealer_price;model_name;details;product_start_date;product_end_date;supplier;supplier_name;transportation_fees
210;CP;CP11;Components;Road Frames;647,0394;Black;1039,39;58;750,094;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/06/2013;;SP6;Alicia Bike Keys;1
211;CP;CP11;Components;Road Frames;713,0923;Red;1183,04;58;812,972;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/06/2013;;SP3;Life on Wheels;1
212;ACC;ACC6;Accessories;Helmets;12,0278;Red;33,6442;;20,1865;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2016;30/06/2017;SP5;Be A Bike;1
213;ACC;ACC6;Accessories;Helmets;13,8782;Red;33,6442;;20,1865;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2017;30/06/2018;SP6;Alicia Bike Keys;1
214;ACC;ACC6;Accessories;Helmets;13,0863;Red;34,99;;20,994;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2018;;SP3;Life on Wheels;1
215;ACC;ACC6;Accessories;Helmets;12,0278;Black;33,6442;;20,1865;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2016;30/06/2017;SP2;Trackish Life;0
216;ACC;ACC6;Accessories;Helmets;13,8782;Black;33,6442;;20,1865;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2017;30/06/2018;SP8;Mike Bikes;0
217;ACC;ACC6;Accessories;Helmets;13,0863;Black;34,99;;20,994;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2018;;SP2;Trackish Life;0
218;CH;CH6;Clothing;Socks;3,3963;White;9,5;;5,7;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning;01/07/2016;30/06/2017;SP8;Mike Bikes;0
219;CH;CH6;Clothing;Socks;3,3963;White;9,5;;5,7;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning;01/07/2016;30/06/2017;SP2;Trackish Life;0
220;ACC;ACC6;Accessories;Helmets;12,0278;Blue;33,6442;;20,1865;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2016;30/06/2017;SP4;Next Bike;0
221;ACC;ACC6;Accessories;Helmets;13,8782;Blue;33,6442;;20,1865;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2017;30/06/2018;SP7;Biker Boys Inc;0
222;ACC;ACC6;Accessories;Helmets;13,0863;Blue;34,99;;20,994;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2018;;SP8;Mike Bikes;0
223;CH;CH2;Clothing;Caps;5,7052;Multi;8,6442;;5,1865;Cycling Cap;Traditional style with a flip-up brim one-size fits all;01/07/2016;30/06/2017;SP8;Mike Bikes;0
224;CH;CH2;Clothing;Caps;5,2297;Multi;8,6442;;5,1865;Cycling Cap;Traditional style with a flip-up brim one-size fits all;01/07/2017;30/06/2018;SP3;Life on Wheels;1
225;CH;CH2;Clothing;Caps;6,9223;Multi;8,99;;5,394;Cycling Cap;Traditional style with a flip-up brim one-size fits all;01/07/2018;;SP3;Life on Wheels;1
226;CH;CH4;Clothing;Jerseys;31,7244;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2016;30/06/2017;SP5;Be A Bike;1
227;CH;CH4;Clothing;Jerseys;29,0807;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2017;30/06/2018;SP5;Be A Bike;1
228;CH;CH4;Clothing;Jerseys;38,4923;Multi;49,99;;29,994;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2018;;SP7;Biker Boys Inc;0
229;CH;CH4;Clothing;Jerseys;31,7244;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2016;30/06/2017;SP8;Mike Bikes;0
230;CH;CH4;Clothing;Jerseys;29,0807;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2017;30/06/2018;SP6;Alicia Bike Keys;1
231;CH;CH4;Clothing;Jerseys;38,4923;Multi;49,99;;29,994;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2018;;SP4;Next Bike;0
232;CH;CH4;Clothing;Jerseys;31,7244;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2016;30/06/2017;SP3;Life on Wheels;1
233;CH;CH4;Clothing;Jerseys;29,0807;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2017;30/06/2018;SP4;Next Bike;0
234;CH;CH4;Clothing;Jerseys;38,4923;Multi;49,99;;29,994;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2018;;SP4;Next Bike;0
235;CH;CH4;Clothing;Jerseys;31,7244;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2016;30/06/2017;SP5;Be A Bike;1
236;CH;CH4;Clothing;Jerseys;29,0807;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2017;30/06/2018;SP7;Biker Boys Inc;0
237;CH;CH4;Clothing;Jerseys;38,4923;Multi;49,99;;29,994;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2018;;SP6;Alicia Bike Keys;1
238;CP;CP11;Components;Road Frames;747,9682;Red;1263,4598;62;758,0759;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2016;30/06/2017;SP5;Be A Bike;1
239;CP;CP11;Components;Road Frames;722,2568;Red;1301,3636;62;780,8182;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2017;30/06/2018;SP7;Biker Boys Inc;0
240;CP;CP11;Components;Road Frames;868,6342;Red;1431,5;62;858,9;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2018;;SP5;Be A Bike;1
241;CP;CP11;Components;Road Frames;747,9682;Red;1263,4598;44;758,0759;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2016;30/06/2017;SP7;Biker Boys Inc;0
242;CP;CP11;Components;Road Frames;722,2568;Red;1301,3636;44;780,8182;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2017;30/06/2018;SP8;Mike Bikes;0
243;CP;CP11;Components;Road Frames;868,6342;Red;1431,5;44;858,9;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2018;;SP1;Pedal For Life;0
244;CP;CP11;Components;Road Frames;747,9682;Red;1263,4598;48;758,0759;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2016;30/06/2017;SP4;Next Bike;0
245;CP;CP11;Components;Road Frames;722,2568;Red;1301,3636;48;780,8182;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2017;30/06/2018;SP2;Trackish Life;0
246;CP;CP11;Components;Road Frames;868,6342;Red;1431,5;48;858,9;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2018;;SP5;Be A Bike;1
247;CP;CP11;Components;Road Frames;747,9682;Red;1263,4598;52;758,0759;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2016;30/06/2017;SP1;Pedal For Life;0
248;CP;CP11;Components;Road Frames;722,2568;Red;1301,3636;52;780,8182;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2017;30/06/2018;SP7;Biker Boys Inc;0
249;CP;CP11;Components;Road Frames;868,6342;Red;1431,5;52;858,9;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2018;;SP2;Trackish Life;0
250;CP;CP11;Components;Road Frames;747,9682;Red;1263,4598;56;758,0759;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2016;30/06/2017;SP4;Next Bike;0
251;CP;CP11;Components;Road Frames;722,2568;Red;1301,3636;56;780,8182;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2017;30/06/2018;SP7;Biker Boys Inc;0
252;CP;CP11;Components;Road Frames;868,6342;Red;1431,5;56;858,9;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2018;;SP5;Be A Bike;1
253;CP;CP11;Components;Road Frames;176,1997;Black;297,6346;58;178,5808;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2016;30/06/2017;SP3;Life on Wheels;1
254;CP;CP11;Components;Road Frames;170,1428;Black;306,5636;58;183,9382;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2017;30/06/2018;SP2;Trackish Life;0
255;CP;CP11;Components;Road Frames;204,6251;Black;337,22;58;202,332;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2018;;SP5;Be A Bike;1
256;CP;CP11;Components;Road Frames;176,1997;Black;297,6346;60;178,5808;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2016;30/06/2017;SP3;Life on Wheels;1
257;CP;CP11;Components;Road Frames;170,1428;Black;306,5636;60;183,9382;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2017;30/06/2018;SP8;Mike Bikes;0
258;CP;CP11;Components;Road Frames;204,6251;Black;337,22;60;202,332;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2018;;SP5;Be A Bike;1
259;CP;CP11;Components;Road Frames;176,1997;Black;297,6346;62;178,5808;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2016;30/06/2017;SP3;Life on Wheels;1
260;CP;CP11;Components;Road Frames;170,1428;Black;306,5636;62;183,9382;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2017;30/06/2018;SP4;Next Bike;0
261;CP;CP11;Components;Road Frames;204,6251;Black;337,22;62;202,332;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2018;;SP7;Biker Boys Inc;0
262;CP;CP11;Components;Road Frames;181,4857;Red;306,5636;44;183,9382;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2016;30/06/2017;SP7;Biker Boys Inc;0
263;CP;CP11;Components;Road Frames;187,1571;Red;337,22;44;202,332;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2017;30/06/2018;SP8;Mike Bikes;0
264;CP;CP11;Components;Road Frames;181,4857;Red;306,5636;48;183,9382;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2016;30/06/2017;SP2;Trackish Life;0
265;CP;CP11;Components;Road Frames;187,1571;Red;337,22;48;202,332;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2017;30/06/2018;SP4;Next Bike;0
266;CP;CP11;Components;Road Frames;181,4857;Red;306,5636;52;183,9382;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2016;30/06/2017;SP2;Trackish Life;0
267;CP;CP11;Components;Road Frames;187,1571;Red;337,22;52;202,332;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2017;30/06/2018;SP1;Pedal For Life;0
268;CP;CP11;Components;Road Frames;181,4857;Red;306,5636;58;183,9382;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2016;30/06/2017;SP5;Be A Bike;1
269;CP;CP11;Components;Road Frames;187,1571;Red;337,22;58;202,332;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2017;30/06/2018;SP3;Life on Wheels;1
270;CP;CP11;Components;Road Frames;181,4857;Red;306,5636;60;183,9382;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2016;30/06/2017;SP6;Alicia Bike Keys;1
271;CP;CP11;Components;Road Frames;187,1571;Red;337,22;60;202,332;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2017;30/06/2018;SP4;Next Bike;0
272;CP;CP11;Components;Road Frames;181,4857;Red;306,5636;62;183,9382;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2016;30/06/2017;SP1;Pedal For Life;0
273;CP;CP11;Components;Road Frames;187,1571;Red;337,22;62;202,332;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2017;30/06/2018;SP8;Mike Bikes;0
274;CP;CP11;Components;Road Frames;352,1394;Red;594,83;44;356,898;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame the ML features a lightweight down-tube milled to the perfect diameter for optimal strength Men's version;01/07/2016;30/06/2017;SP6;Alicia Bike Keys;1
275;CP;CP11;Components;Road Frames;352,1394;Red;594,83;48;356,898;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame the ML features a lightweight down-tube milled to the perfect diameter for optimal strength Men's version;01/07/2016;30/06/2017;SP3;Life on Wheels;1
276;CP;CP11;Components;Road Frames;352,1394;Red;594,83;52;356,898;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame the ML features a lightweight down-tube milled to the perfect diameter for optimal strength Men's version;01/07/2016;30/06/2017;SP2;Trackish Life;0
277;CP;CP11;Components;Road Frames;352,1394;Red;594,83;58;356,898;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame the ML features a lightweight down-tube milled to the perfect diameter for optimal strength Men's version;01/07/2016;30/06/2017;SP8;Mike Bikes;0
278;CP;CP11;Components;Road Frames;352,1394;Red;594,83;60;356,898;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame the ML features a lightweight down-tube milled to the perfect diameter for optimal strength Men's version;01/07/2016;30/06/2017;SP4;Next Bike;0
279;CP;CP11;Components;Road Frames;176,1997;Black;297,6346;44;178,5808;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2016;30/06/2017;SP2;Trackish Life;0
280;CP;CP11;Components;Road Frames;170,1428;Black;306,5636;44;183,9382;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2017;30/06/2018;SP8;Mike Bikes;0
281;CP;CP11;Components;Road Frames;204,6251;Black;337,22;44;202,332;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2018;;SP8;Mike Bikes;0
282;CP;CP11;Components;Road Frames;176,1997;Black;297,6346;48;178,5808;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2016;30/06/2017;SP2;Trackish Life;0
283;CP;CP11;Components;Road Frames;170,1428;Black;306,5636;48;183,9382;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2017;30/06/2018;SP4;Next Bike;0
284;CP;CP11;Components;Road Frames;204,6251;Black;337,22;48;202,332;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2018;;SP3;Life on Wheels;1
285;CP;CP11;Components;Road Frames;176,1997;Black;297,6346;52;178,5808;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2016;30/06/2017;SP7;Biker Boys Inc;0
286;CP;CP11;Components;Road Frames;170,1428;Black;306,5636;52;183,9382;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2017;30/06/2018;SP5;Be A Bike;1
287;CP;CP11;Components;Road Frames;204,6251;Black;337,22;52;202,332;LL Road Frame;The LL Frame provides a safe comfortable ride while offering superior bump absorption in a value-priced aluminum frame;01/07/2018;;SP2;Trackish Life;0
288;CP;CP9;Components;Mountain Frames;623,8403;Silver;1204,3248;42;722,5949;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps;01/07/2016;30/06/2017;SP7;Biker Boys Inc;0
289;CP;CP9;Components;Mountain Frames;660,9142;Silver;1240,4545;42;744,2727;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps;01/07/2017;30/06/2018;SP3;Life on Wheels;1
290;CP;CP9;Components;Mountain Frames;747,2002;Silver;1364,5;42;818,7;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps;01/07/2018;;SP7;Biker Boys Inc;0
291;CP;CP9;Components;Mountain Frames;706,811;Silver;1364,5;44;818,7;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps;01/07/2016;30/06/2017;SP1;Pedal For Life;0
292;CP;CP9;Components;Mountain Frames;706,811;Silver;1364,5;48;818,7;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps;01/07/2016;30/06/2017;SP6;Alicia Bike Keys;1
293;CP;CP9;Components;Mountain Frames;623,8403;Silver;1204,3248;46;722,5949;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps;01/07/2016;30/06/2017;SP1;Pedal For Life;0
294;CP;CP9;Components;Mountain Frames;660,9142;Silver;1240,4545;46;744,2727;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps;01/07/2017;30/06/2018;SP4;Next Bike;0
295;CP;CP9;Components;Mountain Frames;747,2002;Silver;1364,5;46;818,7;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps;01/07/2018;;SP8;Mike Bikes;0
296;CP;CP9;Components;Mountain Frames;617,0281;Black;1191,1739;42;714,7043;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps;01/07/2016;30/06/2017;SP7;Biker Boys Inc;0
297;CP;CP9;Components;Mountain Frames;653,6971;Black;1226,9091;42;736,1455;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps;01/07/2017;30/06/2018;SP5;Be A Bike;1
298;CP;CP9;Components;Mountain Frames;739,041;Black;1349,6;42;809,76;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps;01/07/2018;;SP8;Mike Bikes;0
299;CP;CP9;Components;Mountain Frames;699,0928;Black;1349,6;44;809,76;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps;01/07/2016;30/06/2017;SP2;Trackish Life;0
300;CP;CP9;Components;Mountain Frames;699,0928;Black;1349,6;48;809,76;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps;01/07/2016;30/06/2017;SP8;Mike Bikes;0
